home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,exchange_rate_src_to_dest,new_device,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,year,month,day,hour,minute
US,USD,CAD,ATM,278.19,278.19,4.25,1.351351,False,US,False,0.123,STANDARD,263,0.522,0,0.223,0,0,0.0,0,2022,10,3,18,40
CA,CAD,MXN,WEB,208.51,154.29,4.24,12.758621,True,CA,False,0.569,STANDARD,947,0.475,0,0.268,0,1,0.0,0,2022,10,3,20,39
US,USD,CNY,MOBILE,160.33,160.33,2.7,7.142857,False,US,False,0.437,ENHANCED,367,0.939,0,0.176,0,0,0.0,0,2022,10,3,23,2
US,USD,EUR,MOBILE,59.41,59.41,2.22,0.925926,False,US,False,0.594,STANDARD,147,0.551,0,0.391,0,0,0.0,0,2022,10,4,1,8
US,USD,INR,MOBILE,200.96,200.96,3.61,83.333333,False,US,False,0.121,ENHANCED,257,0.894,0,0.257,0,0,0.0,0,2022,10,4,9,35
US,USD,GBP,MOBILE,526.9,526.9,8.75,0.8,False,US,False,0.094,LOW,616,0.702,0,0.361,0,0,0.0,0,2022,10,4,12,9
CA,CAD,GBP,MOBILE,149.24,110.44,2.33,0.592,False,CA,False,0.299,STANDARD,947,0.625,0,0.268,0,0,0.0,0,2022,10,4,12,37
CA,CAD,INR,WEB,276.51,204.62,5.59,61.666667,False,CA,False,0.087,STANDARD,1041,0.867,0,0.245,0,1,0.12,0,2022,10,4,16,27
US,USD,EUR,MOBILE,99.52,99.52,2.41,0.925926,False,US,False,0.182,ENHANCED,367,0.939,0,0.176,0,0,0.0,0,2022,10,4,21,0
US,USD,PHP,WEB,302.55,302.55,5.26,58.823529,False,US,False,0.413,STANDARD,1016,0.944,0,0.247,0,0,0.1,1,2022,10,4,21,20
US,USD,NGN,MOBILE,187.84,187.84,3.14,1111.111111,False,US,False,0.318,ENHANCED,257,0.894,0,0.257,0,0,0.25,0,2022,10,4,22,18
US,USD,USD,MOBILE,9998.43,9998.43,151.63,1.0,False,US,False,0.254,STANDARD,1018,0.934,0,0.087,0,0,0.0,0,2022,10,4,22,54
US,USD,CNY,WEB,171.86,171.86,2.96,7.142857,False,US,False,0.109,STANDARD,298,0.336,0,0.166,0,0,0.0,0,2022,10,5,0,57
US,USD,INR,ATM,87.81,87.81,2.4,83.333333,True,US,False,0.151,STANDARD,147,0.401,0,0.391,0,1,0.0,0,2022,10,5,13,34
US,USD,CAD,WEB,9991.85,9991.85,151.39,1.351351,False,US,False,0.423,ENHANCED,257,0.894,0,0.257,0,0,0.0,0,2022,10,5,15,32
US,USD,GBP,MOBILE,309.39,309.39,5.54,0.8,False,US,False,0.329,STANDARD,1016,0.944,0,0.247,0,0,0.0,0,2022,10,5,17,13
